Person,Item,Ratings
67,coffee,8
68,red/blush wine,7
68,newspapers,7
69,sausage,8
69,whole milk,8
69,curd,7
70,tropical fruit,9
70,pip fruit,9
70,berries,9
70,whole milk,8
70,frozen potato products,8
70,rolls/buns,8
70,pickled vegetables,8
70,chocolate,8
71,red/blush wine,7
72,whole milk,8
72,butter,8
72,margarine,8
72,specialty fat,8
72,specialty chocolate,7
72,candles,8
72,flower (seeds),8
73,frankfurter,8
73,citrus fruit,9
73,whole milk,8
73,domestic eggs,8
73,oil,8
73,sparkling wine,8
73,specialty chocolate,7
73,newspapers,7
74,whole milk,8
74,meat spreads,8
74,soda,4
75,frozen potato products,8
76,other vegetables,9
76,whole milk,8
76,rolls/buns,8
76,sugar,6
77,citrus fruit,9
77,whole milk,8
77,curd,7
77,butter milk,8
77,pastry,6
78,flour,6
78,salt,8
78,bottled water,8
78,fruit/vegetable juice,8
78,bottled beer,8
79,sugar,6
79,bottled water,8
79,soda,4
79,bottled beer,8
80,frozen meals,8
80,coffee,8
81,chocolate,8
82,root vegetables,9
82,whole milk,8
82,frozen vegetables,8
82,domestic eggs,8
82,rolls/buns,8
82,oil,8
82,margarine,8
82,canned vegetables,7
82,fruit/vegetable juice,8
82,bathroom cleaner,7
83,root vegetables,9
83,onions,9
83,hard cheese,8
83,frozen vegetables,8
84,herbs,9
84,condensed milk,8
84,frozen vegetables,8
84,salt,8
84,oil,8
84,white wine,7
84,candles,8
85,bottled water,8
86,sausage,8
86,root vegetables,9
86,onions,9
86,yogurt,8
86,rolls/buns,8
86,brandy,8
86,detergent,5
87,coffee,8
87,newspapers,7
88,pork,8
88,other vegetables,9
88,whipped/sour cream,8
89,berries,9
89,yogurt,8
90,soda,4
91,berries,9
92,fruit/vegetable juice,8
92,salty snack,8
92,candles,8
93,citrus fruit,9
93,butter milk,8
93,yogurt,8
93,cream cheese ,7
94,pork,8
94,hamburger meat,7
94,citrus fruit,9
94,berries,9
94,onions,9
94,whipped/sour cream,8
94,rice,9
94,coffee,8
94,chocolate,8
95,detergent,5
96,grapes,9
96,photo/film,6
97,sausage,8
97,sliced cheese,6
97,rolls/buns,8
97,brown bread,6
97,fruit/vegetable juice,8
97,canned beer,8
97,red/blush wine,6
97,waffles,6
97,shopping bags,8
98,chicken,8
98,hamburger meat,6
98,citrus fruit,9
98,tropical fruit,9
98,root vegetables,9
98,other vegetables,9
98,butter,8
98,pasta,8
98,oil,8
98,detergent,5
99,whole milk,8
99,yogurt,8
99,brown bread,6
100,citrus fruit,9
100,tropical fruit,9
101,soda,4
101,misc. beverages,8
102,sausage,8
102,pork,8
102,grapes,9
102,whole milk,8
102,rolls/buns,8
102,pastry,6
102,soda,4
102,specialty bar,7
102,bathroom cleaner,7
103,frankfurter,8
103,rolls/buns,8
103,bottled water,8
104,sausage,8
104,whole milk,8
104,yogurt,8
104,coffee,8
104,fruit/vegetable juice,8
104,bottled beer,8
104,softener,7
104,napkins,7
104,photo/film,7
104,shopping bags,8
105,soda,4
106,rolls/buns,8
106,fruit/vegetable juice,8
107,beef,8
107,citrus fruit,9
107,berries,9
107,root vegetables,9
107,brown bread,6
107,detergent,5
108,whole milk,8
108,whipped/sour cream,8
108,rolls/buns,8
108,soda,4
108,waffles,6
108,candy,8
108,cling film/bags,8
109,processed cheese,8
110,tropical fruit,9
110,pip fruit,9
111,frankfurter,8
111,sausage,8
111,root vegetables,9
111,other vegetables,9
111,rolls/buns,8
111,oil,8
111,pickled vegetables,8
111,bottled beer,8
111,chewing gum,8
111,dishes,8
112,packaged fruit/vegetables,9
112,bottled water,8
113,whole milk,8
113,dessert,8
113,frozen vegetables,8
113,rolls/buns,8
113,margarine,8
113,bottled water,8
113,red/blush wine,7
113,newspapers,7
114,berries,9
114,whipped/sour cream,8
115,citrus fruit,9
115,berries,9
115,UHT-milk,8
115,processed cheese,7
116,tropical fruit,9
116,whole milk,8
116,yogurt,8
117,hamburger meat,7
117,whole milk,8
117,frozen vegetables,8
117,rolls/buns,8
117,bottled beer,8
117,sparkling wine,8
118,hamburger meat,7
118,other vegetables,9
118,whole milk,8
118,frozen vegetables,8
118,domestic eggs,8
118,soda,4
118,dishes,8
119,whole milk,8
119,cream cheese ,7
119,soda,4
120,fish,8
120,other vegetables,9
120,pastry,6
120,margarine,8
120,coffee,8
120,long life bakery product,4
120,male cosmetics,7
120,shopping bags,8
121,frankfurter,8
121,sausage,8
121,long life bakery product,4
121,waffles,6
122,packaged fruit/vegetables,9
122,dessert,8
122,semi-finished bread,7
122,canned beer,8
123,pastry,6
123,soda,4
124,other vegetables,9
124,red/blush wine,7
125,misc. beverages,8
126,frankfurter,8
126,sausage,8
126,citrus fruit,9
126,tropical fruit,9
126,pip fruit,9
126,whole milk,8
126,hard cheese,8
126,cream cheese ,7
126,domestic eggs,8
126,rice,9
126,sugar,6
126,canned fruit,
126,misc. beverages,8
126,fruit/vegetable juice,8
126,hygiene articles,7
127,sparkling wine,8
128,specialty bar,7
129,sausage,8
129,butter milk,8
129,rolls/buns,8
130,curd cheese,5
131,frankfurter,8
131,dessert,8
132,whole milk,8
132,yogurt,8
132,beverages,8
132,brown bread,6
132,shopping bags,8
133,newspapers,7
134,berries,9
134,soda,4
135,curd,7
135,flour,6
135,liquor (appetizer),8
136,tropical fruit,9
136,other vegetables,9
136,coffee,8
137,soda,4
138,rolls/buns,8
138,Instant food products,8
139,canned beer,8
140,canned beer,8
141,frankfurter,8
141,sausage,8
141,whole milk,8
141,rolls/buns,8
141,margarine,8
142,other vegetables,9
142,misc. beverages,8
142,canned beer,8
143,whole milk,8
143,frozen vegetables,8
144,whole milk,8
145,citrus fruit,9
145,butter,8
145,cream cheese ,7
145,white bread,8
145,oil,8
145,margarine,8
145,newspapers,7
146,frankfurter,8
146,rolls/buns,8
147,frankfurter,8
147,ham,7
147,pip fruit,9
147,other vegetables,9
147,whole milk,8
147,soft cheese,8
147,frozen vegetables,8
147,rolls/buns,8
147,sugar,6
147,baking powder,6
148,butter milk,8
148,yogurt,8
148,honey,9
148,soda,4
148,detergent,5
149,hamburger meat,7
149,citrus fruit,9
149,onions,9
149,rolls/buns,8
149,bottled water,8
149,dental care,8
150,pasta,8
150,popcorn,8
151,other vegetables,9
151,whole milk,8
151,meat spreads,8
151,cake bar,8
151,chocolate,8
151,shopping bags,8
152,sausage,8
152,pork,8
152,citrus fruit,9
152,dessert,8
152,white bread,8
152,dishes,8
152,candles,8
153,rolls/buns,8
154,grapes,7
154,other vegetables,9
154,curd,7
154,dessert,8
154,yogurt,8
154,napkins,7
155,root vegetables,9
155,other vegetables,9
155,whole milk,8
155,yogurt,8
155,beverages,8
155,soft cheese,8
155,frozen vegetables,8
155,fruit/vegetable juice,8
155,bottled beer,8
156,coffee,8
156,shopping bags,8
157,popcorn,8
158,whole milk,8
158,rolls/buns,8
158,sugar,6
158,bottled water,8
158,soda,4
159,tropical fruit,9
159,other vegetables,9
159,packaged fruit/vegetables,9
159,whole milk,8
159,snack products,8
160,beef,8
160,herbs,9
160,flour,6
160,cling film/bags,8
160,flower soil/fertilizer,8
161,whole milk,8
161,butter,8
161,dessert,6
161,rolls/buns,8
162,frankfurter,8
162,soda,4
162,chewing gum,8
163,tropical fruit,9
163,specialty cheese,7
163,bottled water,8
164,canned beer,8
165,finished products,8
165,other vegetables,9
165,frozen vegetables,8
165,bottled beer,8
166,beverages,8
166,soda,4
167,hamburger meat,7
167,root vegetables,9
167,whole milk,8
168,whole milk,8
168,pastry,6
168,long life bakery product,4
169,finished products,8
169,white wine,7
169,shopping bags,8
170,other vegetables,9
171,ham,7
171,tropical fruit,9
171,other vegetables,9
171,whole milk,8
171,white bread,8
171,brown bread,6
171,fruit/vegetable juice,8
171,bottled beer,8
172,other vegetables,9
173,curd,7
173,butter milk,8
173,cocoa drinks,8
173,salty snack,8
173,popcorn,8
174,bottled beer,8
175,curd,7
175,dessert,6
175,soda,4
175,salty snack,8
175,waffles,6
175,cake bar,6
175,chocolate,8
175,shopping bags,8
176,whole milk,8
176,cream cheese ,7
176,cereals,8
176,dog food,8
177,whole milk,8
177,salt,8
178,dessert,6
178,ice cream,8
179,sausage,8
179,soft cheese,8
179,coffee,8
180,other vegetables,9
180,bottled water,8
180,waffles,6
180,dishes,8
180,shopping bags,8
181,ham,7
181,whole milk,8
181,rolls/buns,8
182,other vegetables,9
182,ice cream,8
183,other vegetables,9
183,bottled water,8
184,soda,4
184,bottled beer,8
184,white wine,7
184,prosecco,7
185,herbs,9
185,candy,8
186,frankfurter,8
186,ham,7
186,tropical fruit,9
186,pip fruit,9
186,root vegetables,9
186,other vegetables,9
186,whole milk,8
186,butter,8
186,curd,7
186,yogurt,8
186,whipped/sour cream,8
186,soft cheese,8
186,sliced cheese,7
186,cream cheese ,7
186,frozen meals,8
186,frozen fish,8
186,domestic eggs,8
186,white bread,8
186,sugar,6
186,cereals,8
186,fruit/vegetable juice,8
186,bottled beer,8
186,waffles,6
187,rolls/buns,8
187,canned beer,8
188,curd,7
188,cream cheese ,7
188,semi-finished bread,7
188,zwieback,8
188,cake bar,6
188,specialty bar,7
188,shopping bags,8
189,frankfurter,8
189,tropical fruit,9
189,whole milk,8
189,spread cheese,8
189,margarine,8
189,shopping bags,8
190,other vegetables,9
191,dog food,8
192,specialty bar,7
193,curd,7
193,salt,8
193,liquor (appetizer),8
193,detergent,5
193,shopping bags,8
194,frankfurter,8
194,rolls/buns,8
195,soda,4
196,beef,8
196,berries,9
196,root vegetables,9
196,whole milk,8
196,dessert,6
196,spread cheese,8
196,brown bread,6
197,canned beer,8
198,pork,8
198,beef,8
198,pip fruit,9
198,herbs,9
198,spices,9
199,frankfurter,8
199,citrus fruit,9
199,UHT-milk,8
199,margarine,8
199,sugar,6
200,sausage,8
200,bottled beer,8
200,liquor (appetizer),8
201,canned beer,8
202,specialty chocolate,7
203,curd,7
203,rolls/buns,8
204,canned beer,8
205,whole milk,8
205,bottled water,8
205,newspapers,7
206,rolls/buns,8
206,chewing gum,8
207,pork,8
207,root vegetables,9
207,other vegetables,9
207,whole milk,8
207,dishes,8
208,citrus fruit,9
208,pastry,6
209,pot plants,8
210,rolls/buns,8
210,pastry,6
210,soda,4
211,butter,8
211,yogurt,8
211,bottled water,8
211,soda,4
211,make up remover,7
211,hygiene articles,7
212,condensed milk,8
212,sugar,6
212,coffee,8
212,shopping bags,8
213,sausage,8
213,other vegetables,9
213,yogurt,8
213,soda,4
213,shopping bags,8
214,whole milk,8
214,beverages,8
214,UHT-milk,8
214,soda,4
215,sausage,8
215,pork,8
215,beef,8
215,whole milk,8
215,rolls/buns,8
215,margarine,8
216,beverages,8
217,beverages,8
217,specialty bar,7
218,bottled water,8
218,fruit/vegetable juice,8
219,newspapers,7
220,cleaner,5
220,female sanitary products,7
221,sausage,8
221,soda,4
221,newspapers,7
221,shopping bags,8
222,newspapers,7
223,sausage,8
223,beef,8
223,citrus fruit,9
223,other vegetables,9
223,whole milk,8
223,butter milk,8
223,whipped/sour cream,8
223,beverages,8
223,hard cheese,8
223,rolls/buns,8
223,dish cleaner,8
223,cookware,8
224,misc. beverages,8
224,newspapers,7
225,white wine,7
226,sausage,8
226,sliced cheese,7
226,rolls/buns,8
226,soda,4
226,canned beer,8
226,shopping bags,8
227,meat,8
227,curd,7
227,bottled beer,8
227,cake bar,6
228,frankfurter,8
228,meat,8
228,tropical fruit,9
228,onions,9
228,oil,8
228,baking powder,6
228,tea,8
228,cling film/bags,8
229,ice cream,8
229,rolls/buns,8
229,canned beer,8
230,canned beer,8
231,tropical fruit,9
231,berries,9
231,root vegetables,9
231,other vegetables,9
231,bottled water,8
231,shopping bags,8
232,meat,8
232,citrus fruit,9
232,other vegetables,9
232,curd,7
232,dessert,6
232,butter milk,8
232,beverages,8
232,cream cheese ,7
232,rolls/buns,8
232,brown bread,6
232,tea,8
232,bottled water,8
233,whole milk,8
233,mustard,8
233,bottled water,8
234,sausage,8
234,beef,8
234,beverages,8
234,sliced cheese,7
234,rolls/buns,8
234,spices,9
234,house keeping products,8
234,flower (seeds),8
235,frankfurter,8
235,sausage,8
235,root vegetables,9
235,butter,8
235,curd,7
235,sliced cheese,7
235,rolls/buns,8
235,salty snack,8
235,long life bakery product,4
236,meat,8
236,other vegetables,9
236,butter,8
236,rolls/buns,8
237,root vegetables,9
237,beverages,8
237,Instant food products,8
237,pickled vegetables,8
237,detergent,5
238,root vegetables,9
238,herbs,9
238,other vegetables,9
238,whole milk,8
238,sliced cheese,7
238,rolls/buns,8
239,whole milk,8
239,whipped/sour cream,8
239,semi-finished bread,7
239,margarine,8
240,citrus fruit,9
240,whole milk,8
240,curd,7
240,dessert,6
240,yogurt,8
240,whipped/sour cream,8
240,frozen dessert,8
240,rolls/buns,8
240,salt,8
240,sugar,6
240,cereals,8
240,canned vegetables,7
240,canned fish,8
240,skin care,7
240,hygiene articles,7
240,napkins,7
241,citrus fruit,9
241,curd,7
241,pastry,6
241,margarine,8
241,sugar,6
241,candy,8
241,newspapers,7
242,other vegetables,9
242,whole milk,8
242,bottled water,8
242,soda,4
242,misc. beverages,8
242,bottled beer,8
242,red/blush wine,7
242,napkins,7
243,citrus fruit,9
243,whole milk,8
243,rolls/buns,8
244,sausage,8
244,oil,8
244,hygiene articles,7
244,napkins,7
245,frankfurter,8
245,beef,8
245,hamburger meat,7
245,grapes,7
245,root vegetables,9
245,whole milk,8
245,butter,8
245,frozen dessert,8
245,potato products,9
245,bottled water,8
245,bottled beer,8
246,hard cheese,8
246,rolls/buns,8
246,bottled water,8
246,newspapers,7
247,cream cheese ,7
247,rolls/buns,8
247,soda,4
247,chocolate,8
248,turkey,5
248,beef,8
248,frozen vegetables,8
248,dishes,8
248,photo/film,7
249,pork,8
249,other vegetables,9
249,whipped/sour cream,8
249,rolls/buns,8
249,soda,4
249,shopping bags,8
250,whole milk,8
250,beverages,8
251,rolls/buns,8
251,soda,4
252,sausage,8
252,pip fruit,9
252,whole milk,8
252,curd,7
252,yogurt,8
252,sliced cheese,7
252,rolls/buns,8
252,bottled water,8
252,hygiene articles,7
253,ice cream,8
254,liquor,8
255,pip fruit,9
255,other vegetables,9
255,fruit/vegetable juice,8
256,root vegetables,9
256,other vegetables,9
256,yogurt,8
257,soda,4
258,soda,4
259,sausage,8
259,citrus fruit,9
259,tropical fruit,9
259,other vegetables,9
259,whole milk,8
259,yogurt,8
259,rolls/buns,8
259,bottled water,8
259,soda,4
259,chocolate,8
259,newspapers,7
260,root vegetables,9
260,whole milk,8
260,pet care,8
260,detergent,5
261,pork,8
261,berries,9
261,root vegetables,9
261,other vegetables,9
261,pastry,6
261,specialty bar,7
262,pork,8
263,chocolate,8
264,fruit/vegetable juice,8
265,pickled vegetables,8
265,coffee,8
266,bottled water,8
267,frankfurter,8
267,sausage,8
267,butter,8
267,whipped/sour cream,8
267,rolls/buns,8
267,margarine,8
267,spices,9
268,tropical fruit,9
268,pip fruit,9
268,onions,9
268,other vegetables,9
268,whole milk,8
268,domestic eggs,8
268,sugar,6
268,soups,4
268,tea,8
268,soda,4
268,hygiene articles,7
268,napkins,7
269,canned beer,8
270,root vegetables,9
271,meat,8
271,citrus fruit,9
271,berries,9
271,root vegetables,9
271,whole milk,8
271,soda,4
272,frankfurter,8
272,rolls/buns,8
272,bottled water,8
272,fruit/vegetable juice,8
272,hygiene articles,7
273,tropical fruit,9
273,margarine,8
273,rum,8
274,tropical fruit,9
274,root vegetables,9
274,herbs,9
274,whole milk,8
274,butter milk,8
274,whipped/sour cream,8
274,flour,6
274,hygiene articles,7
275,citrus fruit,9
275,pip fruit,9
275,root vegetables,9
275,other vegetables,9
275,whole milk,8
275,cream cheese ,7
275,domestic eggs,8
275,brown bread,6
275,margarine,8
275,baking powder,6
275,waffles,6
276,hamburger meat,7
276,other vegetables,9
276,whole milk,8
276,curd,7
276,yogurt,8
276,rolls/buns,8
276,pastry,6
276,semi-finished bread,7
276,margarine,8
276,bottled water,8
276,fruit/vegetable juice,8
277,chicken,8
277,pip fruit,9
277,other vegetables,9
277,whole milk,8
277,dessert,6
277,yogurt,8
277,whipped/sour cream,8
277,rolls/buns,8
277,pasta,8
277,soda,4
277,waffles,6
278,chicken,8
278,citrus fruit,9
278,tropical fruit,9
278,root vegetables,9
278,whole milk,8
278,frozen fish,8
278,rolls/buns,8
279,frankfurter,8
279,citrus fruit,9
279,onions,9
279,other vegetables,9
279,whole milk,8
279,rolls/buns,8
279,sugar,6
279,soda,4
280,canned beer,8
281,turkey,5
281,pip fruit,9
281,salad dressing,8
281,pastry,6
282,packaged fruit/vegetables,9
282,whole milk,8
282,curd,7
282,yogurt,8
282,domestic eggs,8
282,brown bread,6
282,mustard,8
282,pickled vegetables,8
282,bottled water,8
282,misc. beverages,8
283,pasta,8
284,citrus fruit,9
284,tropical fruit,9
285,sausage,8
285,whole milk,8
285,yogurt,8
285,rolls/buns,8
285,brown bread,6
285,pot plants,8
286,whole milk,8
286,frozen meals,8
286,pastry,6
286,fruit/vegetable juice,8
286,waffles,6
287,canned beer,8
288,citrus fruit,9
288,sugar,6
288,sauces,8
289,liquor (appetizer),8
290,citrus fruit,9
290,other vegetables,9
290,rolls/buns,8
290,salty snack,8
290,shopping bags,8
291,sausage,8
292,chicken,8
292,other vegetables,9
292,whole milk,8
292,vinegar,8
292,oil,8
292,bottled water,8
292,canned beer,8
292,napkins,7
292,newspapers,7
293,hamburger meat,7
293,root vegetables,9
293,other vegetables,9
293,whole milk,8
293,yogurt,8
293,whipped/sour cream,8
293,specialty cheese,7
293,flour,6
293,margarine,8
294,sausage,8
294,pork,8
294,other vegetables,9
294,dessert,6
294,yogurt,8
294,oil,8
294,soda,4
295,beef,8
295,berries,9
295,root vegetables,9
295,whole milk,8
295,whipped/sour cream,8
295,abrasive cleaner,7
296,citrus fruit,9
296,packaged fruit/vegetables,9
296,yogurt,8
296,bottled water,8
297,UHT-milk,8
297,coffee,8
298,candy,8
299,newspapers,7
300,beef,8
300,citrus fruit,9
300,other vegetables,9
300,yogurt,8
301,sausage,8
301,rolls/buns,8
302,frankfurter,8
302,beef,8
302,root vegetables,9
302,curd,7
302,dessert,6
302,yogurt,8
302,soft cheese,8
302,rolls/buns,8
302,mustard,8
302,pickled vegetables,8
302,canned beer,8
302,hygiene articles,7
302,napkins,7
303,canned beer,8
304,bottled beer,8
305,onions,9
305,soda,4
305,chewing gum,8
305,chocolate,8
305,newspapers,7
306,tropical fruit,9
306,packaged fruit/vegetables,9
306,cream cheese ,7
306,white bread,8
306,candy,8
307,bottled water,8
307,white wine,7
308,beef,8
308,white bread,8
308,pastry,6
308,pasta,8
308,soap,5
309,sausage,8
309,chicken,8
309,tropical fruit,9
309,root vegetables,9
309,whole milk,8
309,yogurt,8
309,candy,8
309,abrasive cleaner,7
309,cleaner,5
310,hair spray,7
311,chicken,8
311,whole milk,8
311,spices,9
311,long life bakery product,4
311,shopping bags,8
312,pork,8
312,citrus fruit,9
312,brown bread,6
312,pastry,6
312,sugar,6
312,cat food,8
313,ice cream,8
314,meat,8
314,hard cheese,8
314,bottled beer,8
315,other vegetables,9
315,yogurt,8
315,brown bread,6
315,instant coffee,8
316,bottled water,8
316,cake bar,6
317,tropical fruit,9
317,soda,4
317,salty snack,8
318,photo/film,7
319,sausage,8
319,citrus fruit,9
319,yogurt,8
319,coffee,8
319,soda,4
319,canned beer,8
319,dishes,8
320,grapes,7
320,root vegetables,9
321,domestic eggs,8
321,brown bread,6
321,photo/film,7
322,rolls/buns,8
322,canned fish,8
322,canned beer,8
323,tropical fruit,9
323,whole milk,8
324,chicken,8
325,frankfurter,8
325,other vegetables,9
325,yogurt,8
325,brown bread,6
325,bottled water,8
326,berries,9
326,root vegetables,9
326,other vegetables,9
326,curd,7
326,butter milk,8
326,cream cheese ,7
326,roll products ,8
326,margarine,8
326,misc. beverages,8
326,specialty chocolate,7
326,detergent,5
327,margarine,8
327,hygiene articles,7
328,tropical fruit,9
328,yogurt,8
328,rolls/buns,8
328,soda,4
328,shopping bags,8
329,ham,7
329,other vegetables,9
329,whipped/sour cream,8
329,hard cheese,8
329,rolls/buns,8
329,soda,4
329,misc. beverages,8
329,chocolate,8
329,candy,8
330,hamburger meat,7
330,white bread,8
330,salty snack,8
331,yogurt,8
331,mayonnaise,8
331,rolls/buns,8
331,soda,4
331,napkins,7
332,soda,4
332,specialty chocolate,7
333,yogurt,8
334,soda,4
335,bottled water,8
336,sausage,8
336,meat,8
336,hamburger meat,7
336,rubbing alcohol,5
337,citrus fruit,9
337,pip fruit,9
337,beverages,8
337,hard cheese,8
337,pet care,8
337,soda,4
337,fruit/vegetable juice,8
337,waffles,6
338,shopping bags,8
339,newspapers,7
340,frankfurter,8
340,other vegetables,9
340,whole milk,8
340,curd,7
340,frozen potato products,8
340,zwieback,8
340,specialty bar,7
340,dish cleaner,8
341,sausage,8
341,citrus fruit,9
341,whole milk,8
341,canned beer,8
342,frankfurter,8
342,rolls/buns,8
343,salt,8
343,salty snack,8
343,cookware,8
344,oil,8
345,curd,7
345,beverages,8
345,cream cheese ,7
345,rolls/buns,8
345,pastry,6
345,soda,4
345,cake bar,6
345,chewing gum,8
346,other vegetables,9
346,butter,8
346,specialty chocolate,7
347,citrus fruit,9
348,frankfurter,8
348,whole milk,8
348,butter milk,8
349,root vegetables,9
349,whole milk,8
349,butter,8
349,processed cheese,7
349,mayonnaise,8
349,salty snack,8
350,tropical fruit,9
350,whole milk,8
350,frozen meals,8
350,bottled beer,8
351,beef,8
351,hamburger meat,7
351,pip fruit,9
352,berries,9
352,whipped/sour cream,8
352,cereals,8
352,waffles,6
352,shopping bags,8
353,canned beer,8
354,whipped/sour cream,8
354,canned beer,8
354,red/blush wine,7
355,root vegetables,9
355,domestic eggs,8
355,margarine,8
355,chocolate marshmallow,8
355,candy,8
356,whole milk,8
356,soda,4
357,beef,8
358,frozen vegetables,8
359,rolls/buns,8
359,bottled beer,8
360,whole milk,8
360,hygiene articles,7
361,whole milk,8
362,citrus fruit,9
362,whole milk,8
362,curd,7
362,soft cheese,8
363,pastry,6
363,fruit/vegetable juice,8
364,frankfurter,8
364,sausage,8
364,pork,8
364,pip fruit,9
364,butter,8
364,processed cheese,7
364,white bread,8
364,brown bread,6
365,tropical fruit,9
365,root vegetables,9
365,whole milk,8
365,whipped/sour cream,8
365,domestic eggs,8
366,frankfurter,8
366,sausage,8
366,root vegetables,9
366,yogurt,8
366,whipped/sour cream,8
366,pastry,6
366,napkins,7
367,berries,9
367,root vegetables,9
367,other vegetables,9
367,packaged fruit/vegetables,9
367,whole milk,8
367,curd,7
367,curd cheese,5
367,cat food,8
367,specialty bar,7
367,detergent,5
368,rolls/buns,8
368,brown bread,6
368,pastry,6
368,coffee,8
368,bottled beer,8
369,root vegetables,9
369,packaged fruit/vegetables,9
369,curd,7
369,dessert,6
369,frozen vegetables,8
369,specialty fat,8
369,coffee,8
370,yogurt,8
371,other vegetables,9
371,bottled water,8
372,berries,9
372,white bread,8
373,berries,9
373,coffee,8
374,other vegetables,9
374,butter milk,8
374,frozen meals,8
374,bottled water,8
375,rolls/buns,8
375,newspapers,7
376,ham,7
376,citrus fruit,9
376,whole milk,8
